title,kindcolour,price,link,link image
Nike Phantom GX Elite,2 Colours,"Rp 3,889,000",https://www.nike.com/id/t/phantom-gx-elite-football-boot-CRPX0r/DD9441-600,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ebba9932-5ecf-4d8a-9c49-c9e74275d980/phantom-gx-elite-football-boot-CRPX0r.png"
Nike Zoom Mercurial Vapor 15 Elite FG By You,4 Colours,"Rp 4,369,000",https://www.nike.com/id/u/custom-nike-zoom-mercurial-vapor-15-elite-by-you-10001354/2018638926,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0bf5223f-133a-444d-b095-33975925a978/custom-nike-zoom-mercurial-vapor-15-elite-by-you.png"
NikePremier 3,2 Colours,"Rp 1,649,000",https://www.nike.com/id/t/nikepremier-3-football-boot-5CPFpf/AT5889-004,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6b7defc3-6167-4fd7-a956-f8679746d930/nikepremier-3-football-boot-5CPFpf.png"
Nike Zoom Mercurial Superfly 9 Academy KM MG,1 Colour,"Rp 1,549,000",https://www.nike.com/id/t/zoom-mercurial-superfly-9-academy-km-mg-multi-ground-football-boot-jxdjk2/DO9345-400,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/16f6fc59-4d5e-426f-98ea-2bac8b67e095/zoom-mercurial-superfly-9-academy-km-mg-multi-ground-football-boot-jxdjk2.png"
Nike Mercurial Vapor 15 Academy,2 Colours,"Rp 1,279,000",https://www.nike.com/id/t/mercurial-vapor-15-academy-multi-ground-football-boot-DBh36g/DJ5631-040,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d82f903a-b154-448d-ba3c-1c2848521018/mercurial-vapor-15-academy-multi-ground-football-boot-DBh36g.png"
Nike Mercurial Vapor 15 Elite,1 Colour,"Rp 3,559,000",https://www.nike.com/id/t/mercurial-vapor-15-elite-football-boot-9Mbrnv/DJ4978-600,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/af42e2e8-0813-4097-9d58-fcf430399bf7/mercurial-vapor-15-elite-football-boot-9Mbrnv.png"
Nike Phantom GX Academy Dynamic Fit MG By You,5 Colours,"Rp 2,099,000",https://www.nike.com/id/u/custom-phantom-academy-dynamic-fit-by-you-10001416/8943344919,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/299a94f8-e3ab-4702-af76-a0f6b4739df2/custom-phantom-academy-dynamic-fit-by-you.png"
Nike Tiempo Legend 10 Elite,2 Colours,"Rp 3,569,000",https://www.nike.com/id/t/tiempo-legend-10-elite-football-boot-F47h5D/DV4328-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d56a21ea-4216-4c74-87ab-a90250a3ae95/tiempo-legend-10-elite-football-boot-F47h5D.png"
Nike Phantom Luna FG By You,6 Colours,"Rp 2,379,000",https://www.nike.com/id/u/custom-phantom-luna-academy-by-you-10001552/2074980453,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/7a350330-cbf0-43d2-b51f-f22de99ce74f/custom-phantom-luna-academy-by-you.png"
Nike Tiempo Legend 10 Club,2 Colours,"Rp 799,000",https://www.nike.com/id/t/tiempo-legend-10-club-multi-ground-football-boot-PNdvpg/DV4344-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cfaf97eb-3b8a-47c2-9fa1-e78115a71601/tiempo-legend-10-club-multi-ground-football-boot-PNdvpg.png"
Nike Mercurial Vapor 15 Pro,1 Colour,"Rp 2,099,000",https://www.nike.com/id/t/mercurial-vapor-15-pro-football-boot-Fd2kqr/DJ5603-600,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/ee86612b-0838-444d-86a4-0cdbac73b1e4/mercurial-vapor-15-pro-football-boot-Fd2kqr.png"
Nike Phantom GX Club,3 Colours,"Rp 899,000",https://www.nike.com/id/t/phantom-gx-club-multi-ground-football-boot-WDxFP9/DD9483-040,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0857bc53-f1a0-4bb0-b43f-cef01ac6eea8/phantom-gx-club-multi-ground-football-boot-WDxFP9.png"
